  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       8.000 |        0.267 |        3.611 |        3.878
       7.000 |        0.159 |        0.706 |        0.865
       4.000 |        0.154 |        1.807 |        1.961
       9.000 |        0.192 |        2.561 |        2.754
       5.000 |        0.263 |        0.624 |        0.887
      11.000 |        0.288 |        0.731 |        1.019
       7.000 |        0.121 |        0.809 |        0.930
       7.000 |        0.086 |        1.093 |        1.179
       7.000 |        0.204 |        1.857 |        2.061
      11.000 |        0.187 |        1.837 |        2.024
      12.000 |        0.172 |        1.829 |        2.001
       8.000 |        0.273 |        1.721 |        1.993
      17.000 |        0.200 |        2.649 |        2.849
      10.000 |        0.139 |        0.539 |        0.678
      11.000 |        0.071 |        0.457 |        0.528
       8.000 |        0.159 |        0.917 |        1.076
       5.000 |        0.114 |        1.789 |        1.903
       7.000 |        0.161 |        0.881 |        1.042
       6.000 |        0.191 |        0.948 |        1.138
      12.000 |        0.122 |        1.476 |        1.598
       8.000 |        0.184 |        2.083 |        2.267
       7.000 |        0.250 |        1.927 |        2.177
      16.000 |        0.229 |        0.962 |        1.190
       6.000 |        0.138 |        0.962 |        1.099
      12.000 |        0.213 |        1.638 |        1.852
       6.000 |        0.264 |        2.031 |        2.295
       7.000 |        0.201 |        0.629 |        0.830
       5.000 |        0.175 |        3.286 |        3.461
      11.000 |        0.280 |        0.803 |        1.083
      11.000 |        0.351 |        0.692 |        1.043
       4.000 |        0.298 |        1.459 |        1.757
      12.000 |        0.259 |        0.679 |        0.938
       6.000 |        0.280 |        2.689 |        2.969
       9.000 |        0.220 |        0.795 |        1.016
       6.000 |        0.225 |        1.490 |        1.715
       8.000 |        0.272 |        0.677 |        0.949
       6.000 |        0.259 |        1.405 |        1.665
      11.000 |        0.168 |        1.002 |        1.170
       4.000 |        0.208 |        1.086 |        1.295
       8.000 |        0.092 |        2.254 |        2.346
      12.000 |        0.144 |        3.341 |        3.485
      15.000 |        0.223 |        0.799 |        1.022
      12.000 |        0.253 |        1.299 |        1.552
      10.000 |        0.251 |        0.721 |        0.972
      11.000 |        0.237 |        0.697 |        0.934
       6.000 |        0.158 |        1.174 |        1.332
       9.000 |        0.105 |        1.149 |        1.254
      10.000 |        0.073 |        0.711 |        0.783
       7.000 |        0.100 |        1.282 |        1.381
      10.000 |        0.092 |        1.127 |        1.219
      13.000 |        0.281 |        1.951 |        2.232
      14.000 |        0.235 |        2.019 |        2.254
       7.000 |        0.249 |        0.664 |        0.913
       8.000 |        0.156 |        0.987 |        1.143
       8.000 |        0.351 |        2.756 |        3.107
       8.000 |        0.107 |        2.715 |        2.822
       9.000 |        0.234 |        1.124 |        1.358
       7.000 |        0.232 |        0.720 |        0.951
      12.000 |        0.134 |        1.255 |        1.389
      14.000 |        0.206 |        1.109 |        1.315
      11.000 |        0.171 |        0.684 |        0.855
       8.000 |        0.231 |        1.094 |        1.325
       6.000 |        0.202 |        1.507 |        1.709
       8.000 |        0.192 |        3.195 |        3.387
       8.000 |        0.213 |        0.722 |        0.934
       4.000 |        0.060 |        0.875 |        0.935
       8.000 |        0.242 |        0.973 |        1.216
      11.000 |        0.276 |        3.453 |        3.729
      15.000 |        0.377 |        1.330 |        1.707
       9.000 |        0.203 |        0.559 |        0.762
      10.000 |        0.182 |        2.083 |        2.265
      13.000 |        0.092 |        1.198 |        1.290
       9.000 |        0.124 |        2.609 |        2.733
       8.000 |        0.226 |        0.741 |        0.967
       9.000 |        0.090 |        0.891 |        0.980
      13.000 |        0.214 |        1.873 |        2.087
      11.000 |        0.189 |        0.712 |        0.902
       6.000 |        0.280 |        1.336 |        1.616
       9.000 |        0.129 |        0.862 |        0.991
      12.000 |        0.159 |        0.639 |        0.797
       9.000 |        0.209 |        0.552 |        0.762
      11.000 |        0.163 |        1.318 |        1.481
       7.000 |        0.214 |        3.576 |        3.790
      12.000 |        0.304 |        2.487 |        2.791
       9.000 |        0.341 |        3.282 |        3.623
       6.000 |        0.211 |        0.902 |        1.113
      10.000 |        0.251 |        0.756 |        1.007
       9.000 |        0.251 |        0.787 |        1.038
       9.000 |        0.205 |        0.703 |        0.908
       9.000 |        0.207 |        0.958 |        1.165
       5.000 |        0.139 |        2.149 |        2.288
       9.000 |        0.209 |        0.688 |        0.897
      11.000 |        0.097 |        0.695 |        0.792
       7.000 |        0.223 |        1.344 |        1.567
       6.000 |        0.237 |        2.800 |        3.038
       8.000 |        0.281 |        0.739 |        1.020
       8.000 |        0.240 |        1.486 |        1.726
       7.000 |        0.113 |        1.632 |        1.745
      17.000 |        0.284 |        0.634 |        0.918
       9.000 |        0.217 |        0.707 |        0.924
       9.000 |        0.133 |        0.750 |        0.883
       8.000 |        0.235 |        3.042 |        3.277
       5.000 |        0.122 |        2.924 |        3.046
      15.000 |        0.205 |        2.143 |        2.348
       9.000 |        0.194 |        1.856 |        2.050
      14.000 |        0.207 |        0.582 |        0.789
       4.000 |        0.358 |        3.392 |        3.750
       8.000 |        0.248 |        1.404 |        1.652
      20.000 |        0.266 |        3.717 |        3.983
       9.000 |        0.221 |        1.798 |        2.019
      11.000 |        0.209 |        1.170 |        1.379
       6.000 |        0.231 |        3.708 |        3.939
       6.000 |        0.205 |        0.783 |        0.989
       7.000 |        0.255 |        0.810 |        1.065
      12.000 |        0.246 |        2.153 |        2.398
       6.000 |        0.283 |        1.325 |        1.607
      12.000 |        0.207 |        0.791 |        0.997
      11.000 |        0.220 |        1.065 |        1.285
      10.000 |        0.201 |        0.936 |        1.137
      10.000 |        0.178 |        0.775 |        0.954
       8.000 |        0.269 |        1.023 |        1.292
      10.000 |        0.178 |        0.942 |        1.121
       6.000 |        0.082 |        1.255 |        1.337
      10.000 |        0.249 |        0.500 |        0.749
      11.000 |        0.116 |        1.034 |        1.150
      10.000 |        0.191 |        1.901 |        2.092
       9.000 |        0.101 |        1.226 |        1.327
       9.000 |        0.178 |        0.806 |        0.984
       5.000 |        0.218 |        0.655 |        0.873
       7.000 |        0.218 |        0.632 |        0.850
       9.000 |        0.205 |        1.809 |        2.014
       8.000 |        0.193 |        1.367 |        1.560
      11.000 |        0.205 |        2.249 |        2.454
      11.000 |        0.241 |        0.814 |        1.055
       9.000 |        0.160 |        3.446 |        3.606
       7.000 |        0.196 |        1.069 |        1.266
       9.000 |        0.134 |        3.521 |        3.654
       8.000 |        0.197 |        2.996 |        3.193
       9.000 |        0.188 |        1.021 |        1.208
      10.000 |        0.201 |        1.460 |        1.661
       8.000 |        0.291 |        2.034 |        2.324
       4.000 |        0.261 |        3.006 |        3.267
       8.000 |        0.293 |        3.100 |        3.393
       6.000 |        0.221 |        0.694 |        0.915
       6.000 |        0.106 |        0.861 |        0.968
       9.000 |        0.226 |        0.691 |        0.917
      11.000 |        0.297 |        2.882 |        3.178
      11.000 |        0.085 |        1.435 |        1.520
       8.000 |        0.269 |        3.523 |        3.792
       6.000 |        0.203 |        0.855 |        1.058
      10.000 |        0.248 |        0.912 |        1.160
       8.000 |        0.210 |        0.800 |        1.010
      10.000 |        0.215 |        2.877 |        3.091
      10.000 |        0.271 |        1.598 |        1.869
       8.000 |        0.211 |        1.072 |        1.283
       6.000 |        0.164 |        2.669 |        2.833
      10.000 |        0.245 |        1.661 |        1.906
       7.000 |        0.203 |        1.857 |        2.061
       9.000 |        0.217 |        0.773 |        0.990
       4.000 |        0.440 |        1.972 |        2.412
      11.000 |        0.282 |        0.582 |        0.864
      13.000 |        0.198 |        0.815 |        1.013
      14.000 |        0.272 |        0.461 |        0.733
       7.000 |        0.271 |        1.828 |        2.100
       9.000 |        0.064 |        0.952 |        1.016
      12.000 |        0.209 |        3.181 |        3.390
       8.000 |        0.240 |        1.627 |        1.867
       6.000 |        0.251 |        0.819 |        1.070
      14.000 |        0.261 |        2.308 |        2.569
      12.000 |        0.217 |        3.720 |        3.936
       9.000 |        0.240 |        1.228 |        1.468
      11.000 |        0.137 |        2.916 |        3.054
       9.000 |        0.122 |        0.641 |        0.764
       6.000 |        0.076 |        0.673 |        0.748
       7.000 |        0.266 |        2.604 |        2.870
       6.000 |        0.153 |        2.469 |        2.622
       9.000 |        0.186 |        3.810 |        3.996
      12.000 |        0.105 |        3.755 |        3.860
       6.000 |        0.148 |        0.597 |        0.745
      10.000 |        0.252 |        2.238 |        2.490
       8.000 |        0.122 |        0.901 |        1.023
       6.000 |        0.179 |        0.998 |        1.177
       7.000 |        0.167 |        1.044 |        1.211
       8.000 |        0.245 |        2.756 |        3.001
       7.000 |        0.218 |        0.532 |        0.750
      15.000 |        0.227 |        1.148 |        1.375
      12.000 |        0.236 |        0.691 |        0.927
       6.000 |        0.150 |        1.943 |        2.093
      12.000 |        0.087 |        2.230 |        2.317
      10.000 |        0.181 |        0.749 |        0.930
       9.000 |        0.212 |        1.193 |        1.405
       8.000 |        0.206 |        0.701 |        0.907
       7.000 |        0.141 |        0.890 |        1.031
      13.000 |        0.086 |        0.779 |        0.866
      10.000 |        0.115 |        0.820 |        0.935
      10.000 |        0.297 |        0.997 |        1.294
