p95, p99, cpufreq, cpunumber, qps, energyconsumption
6.11631035,7.587434140000008,1.2GHz,11,3500,2290761836
8.340785799999999,14.367585900000016,1.2GHz,11,4000,2349042205
1851.75128135,1943.0873609500004,1.2GHz,11,4500,2473877944
8288.696115,8661.970667,1.2GHz,11,5000,2747688889
15289.56733695,15928.867160040001,1.2GHz,11,5500,3039252351
21566.10886885,22450.72609211,1.2GHz,11,6000,3302458709
5.62096325,6.579637339999999,1.2GHz,12,500,1670674739
5.63081055,6.592621070000001,1.2GHz,12,1000,1839320486
5.645384250000001,6.657016799999997,1.2GHz,12,1500,1974869151
5.702763049999999,6.715193489999998,1.2GHz,12,2000,2074546935
5.750235799999999,6.781409240000002,1.2GHz,12,2500,2167922123
5.8832233,6.97504598,1.2GHz,12,3000,2248259870
6.247620749999995,7.992498880000008,1.2GHz,12,3500,2331807813
8.460232549999997,17.960215040000016,1.2GHz,12,4000,2390743574
1314.94915815,1382.2301993199999,1.2GHz,12,4500,2493552088
7670.172871049998,7998.08354763,1.2GHz,12,5000,2768008112
14310.5066512,14902.61458896,1.2GHz,12,5500,3052154235
20262.60741825,21093.37254881,1.2GHz,12,6000,3304872155
24.5155782,35.779501299999986,1.3GHz,1,500,1586012419
39416.840497050005,41023.34392009,1.3GHz,1,1000,-259298370130
87638.1243536,91230.89538588999,1.3GHz,1,1500,4269172603
136139.73421794994,141948.29376193,1.3GHz,1,2000,5708543187
185323.40247205,192951.03737007,1.3GHz,1,2500,7152697753
234248.42549739996,244170.77033229003,1.3GHz,1,3000,8600493486
283196.33067969995,295180.42864657997,1.3GHz,1,3500,10047916966
333006.09910804994,346971.80001785,1.3GHz,1,4000,11510204726
383232.8076576,399270.87201739004,1.3GHz,1,4500,12995356319
432110.68869715004,450396.24516151,1.3GHz,1,5000,14443603039
481631.0373479,501856.49010668,1.3GHz,1,5500,15902134461
531267.8637968999,553673.5257076799,1.3GHz,1,6000,17361833239
4.985647599999999,6.426045009999997,1.3GHz,2,500,1489968292
16.694819049999996,24.529553430000004,1.3GHz,2,1000,1731786521
17402.5211094,18065.129389249996,1.3GHz,2,1500,2328296469
43552.61846605,45434.24319642,1.3GHz,2,2000,3150325004
68569.020847,71352.96560731,1.3GHz,2,2500,3927642045
92476.3718098,96403.98627598,1.3GHz,2,3000,4678687668
117897.88205219997,122896.20459008,1.3GHz,2,3500,5475437948
144915.57689029997,151022.48439606003,1.3GHz,2,4000,6317456301
167837.85538274999,174874.79488831,1.3GHz,2,4500,7034810116
191324.30474584998,199439.26479490002,1.3GHz,2,5000,7773874936
217958.06207609997,227110.59868817002,1.3GHz,2,5500,8601638442
242885.98138354998,253117.28306935998,1.3GHz,2,6000,9382100128
4.8566657,6.075548119999997,1.3GHz,3,500,1483600694
5.608616449999996,7.384143630000005,1.3GHz,3,1000,1700372600
23.056524450000005,32.25948587999998,1.3GHz,3,1500,1797267799
14487.668523800001,15128.753703499999,1.3GHz,3,2000,2268056754
32920.11009245,34230.46455196,1.3GHz,3,2500,2849476409
50305.13114314999,52455.29206455,1.3GHz,3,3000,3399065639
68097.83040449998,70998.86106967,1.3GHz,3,3500,3963898300
86805.3001043,90463.16855292,1.3GHz,3,4000,4553970764
104679.0374741,109072.51728351,1.3GHz,3,4500,5117733053
122913.0425499,128136.08755041,1.3GHz,3,5000,5702521412
140935.14165625,146846.12425342,1.3GHz,3,5500,6267769783
159063.22888915,165758.75467996,1.3GHz,3,6000,6844384944
4.9826443,6.218213859999998,1.3GHz,4,500,1575904779
5.070633449999999,6.348188620000005,1.3GHz,4,1000,1709333515
6.0940338,8.062505739999997,1.3GHz,4,1500,1830673659
61.06344155,74.09760189999999,1.3GHz,4,2000,1887223868
12911.67225315,13394.344614710002,1.3GHz,4,2500,2314204281
26861.23228225,28009.95901347,1.3GHz,4,3000,2778539823
40697.18649349999,42442.821623940006,1.3GHz,4,3500,3234987751
54787.61851474999,57109.60014703,1.3GHz,4,4000,3702456464
69070.37468685,71975.05603132001,1.3GHz,4,4500,4172698791
82509.3723325,86008.83333767999,1.3GHz,4,5000,4619407181
96211.96960140001,100246.16117858999,1.3GHz,4,5500,5072932753
111179.45939470001,115850.05963724,1.3GHz,4,6000,5565678745
5.122827749999999,6.335619109999999,1.3GHz,5,500,1545980844
5.0992152,6.32483309,1.3GHz,5,1000,1754089992
5.2737240000000005,6.5118778699999975,1.3GHz,5,1500,1858145939
6.57175625,8.773881589999986,1.3GHz,5,2000,-260214781724
563.76934245,578.25277804,1.3GHz,5,2500,2005634026
12101.955705849998,12640.517459260001,1.3GHz,5,3000,2406565495
23544.33349935,24563.814595350002,1.3GHz,5,3500,2802181364
34986.642840349996,36480.343954410004,1.3GHz,5,4000,3198696462
46081.971056099996,48027.78756952,1.3GHz,5,4500,3584753335
58047.253979149995,60537.083897410004,1.3GHz,5,5000,4000615369
69654.13918565,72570.10612581,1.3GHz,5,5500,4405779431
80879.3144839,84274.73079324,1.3GHz,5,6000,4794237666
5.17627775,6.370433339999999,1.3GHz,6,500,1512015843
5.152417749999999,6.34293227,1.3GHz,6,1000,1747306929
5.2216501,6.4051556399999985,1.3GHz,6,1500,1867790933
5.543314299999999,6.766595459999997,1.3GHz,6,2000,1945354761
7.407705149999997,10.111517260000008,1.3GHz,6,2500,2000193671
1848.25157795,1934.78963822,1.3GHz,6,3000,2099569393
11615.179187949998,12132.002804380001,1.3GHz,6,3500,2446616906
21725.238653949997,22661.891540250002,1.3GHz,6,4000,2805755025
