  QueueTimes | ServiceTimes | SojournTimes
       0.178 |        2.104 |        2.282
       0.152 |        0.403 |        0.556
       0.181 |        0.475 |        0.656
       0.445 |        1.026 |        1.471
       0.154 |        0.645 |        0.800
       0.183 |        1.125 |        1.307
       0.159 |        0.462 |        0.621
       0.624 |        2.405 |        3.028
       2.607 |        1.563 |        4.170
       2.152 |        0.708 |        2.860
       0.179 |        0.384 |        0.563
       0.187 |        0.987 |        1.174
       0.185 |        0.601 |        0.786
       0.122 |        0.393 |        0.515
       0.190 |        1.023 |        1.213
       0.579 |        0.732 |        1.311
       0.125 |        0.811 |        0.936
       0.698 |        0.394 |        1.092
       0.164 |        0.744 |        0.908
       0.167 |        1.553 |        1.720
       0.179 |        1.483 |        1.661
       0.182 |        2.111 |        2.293
       0.938 |        1.859 |        2.797
       0.741 |        0.375 |        1.116
       0.174 |        0.846 |        1.020
       0.176 |        0.828 |        1.004
       0.225 |        0.577 |        0.802
       0.122 |        0.778 |        0.900
       0.169 |        0.723 |        0.891
       0.167 |        0.710 |        0.877
       0.180 |        2.469 |        2.649
       0.131 |        0.697 |        0.828
       0.325 |        0.303 |        0.628
       0.172 |        2.590 |        2.761
       2.254 |        0.413 |        2.667
       2.274 |        0.484 |        2.758
       0.143 |        0.663 |        0.806
       0.178 |        0.798 |        0.976
       0.185 |        1.821 |        2.006
       1.954 |        1.509 |        3.463
       0.821 |        0.291 |        1.111
       0.822 |        0.733 |        1.554
       0.164 |        1.301 |        1.465
       0.157 |        0.419 |        0.576
       0.169 |        0.492 |        0.661
       0.156 |        0.489 |        0.644
       0.182 |        1.080 |        1.261
       0.185 |        2.501 |        2.686
       2.158 |        0.543 |        2.701
       1.026 |        0.405 |        1.431
       0.183 |        0.965 |        1.148
       0.170 |        0.302 |        0.472
       0.182 |        1.860 |        2.042
       1.599 |        2.352 |        3.951
       0.175 |        0.619 |        0.794
       0.184 |        0.631 |        0.815
       0.180 |        0.668 |        0.848
       0.149 |        1.622 |        1.771
       0.188 |        0.808 |        0.996
       0.586 |        0.413 |        0.999
       0.174 |        0.553 |        0.727
       0.178 |        1.028 |        1.206
       1.215 |        0.370 |        1.585
       1.432 |        1.949 |        3.380
       0.248 |        0.580 |        0.828
       0.123 |        0.967 |        1.090
