  QueueTimes | ServiceTimes | SojournTimes
     119.467 |        1.848 |      121.315
     121.210 |        0.275 |      121.484
     121.410 |        0.405 |      121.815
     119.173 |        1.291 |      120.465
     120.368 |        0.305 |      120.673
     120.690 |        0.898 |      121.588
     119.794 |        0.262 |      120.057
     119.338 |        0.919 |      120.257
     120.239 |        0.319 |      120.558
     120.366 |        0.279 |      120.645
     120.517 |        0.439 |      120.956
     121.001 |        0.899 |      121.900
     121.319 |        0.871 |      122.190
     121.343 |        0.851 |      122.195
     122.236 |        1.372 |      123.608
     121.835 |        0.173 |      122.008
     121.610 |        0.393 |      122.004
     121.796 |        0.205 |      122.002
     121.828 |        0.936 |      122.763
     122.161 |        1.010 |      123.172
     122.786 |        0.434 |      123.220
     123.157 |        0.692 |      123.849
     123.960 |        0.407 |      124.366
     122.757 |        0.966 |      123.724
     122.831 |        0.403 |      123.234
     123.225 |        0.277 |      123.502
     121.028 |        0.914 |      121.942
     121.721 |        0.832 |      122.554
     122.394 |        1.716 |      124.110
     122.359 |        0.262 |      122.621
     121.867 |        0.339 |      122.206
     120.885 |        0.645 |      121.530
     121.530 |        0.252 |      121.782
     120.096 |        1.379 |      121.476
     120.694 |        0.279 |      120.974
     119.439 |        0.332 |      119.770
     119.709 |        0.725 |      120.434
     118.925 |        0.304 |      119.229
     118.675 |        0.663 |      119.338
     118.843 |        0.351 |      119.194
     119.195 |        1.721 |      120.915
     120.796 |        1.094 |      121.890
     121.286 |        0.501 |      121.787
     118.945 |        0.268 |      119.213
     118.453 |        0.612 |      119.065
     118.056 |        0.299 |      118.354
     118.322 |        0.280 |      118.601
     118.021 |        0.563 |      118.584
     118.371 |        0.523 |      118.895
     118.483 |        0.591 |      119.075
     119.004 |        0.286 |      119.290
     118.873 |        0.524 |      119.397
     118.934 |        1.054 |      119.987
     119.233 |        0.996 |      120.229
     119.153 |        1.424 |      120.576
     120.165 |        1.382 |      121.548
     120.922 |        0.277 |      121.199
     120.770 |        0.443 |      121.213
     120.514 |        0.502 |      121.016
     120.548 |        0.289 |      120.837
     120.637 |        0.561 |      121.198
     120.839 |        0.498 |      121.336
     118.196 |        0.330 |      118.527
     118.109 |        1.682 |      119.791
     118.957 |        0.497 |      119.454
     119.413 |        0.222 |      119.635
     118.366 |        1.786 |      120.152
     119.998 |        0.299 |      120.297
     120.208 |        0.371 |      120.579
     119.592 |        0.448 |      120.040
     119.525 |        0.570 |      120.095
     119.099 |        1.199 |      120.298
     120.205 |        1.087 |      121.293
     120.480 |        0.213 |      120.693
     120.804 |        0.565 |      121.369
     120.315 |        0.918 |      121.232
     120.514 |        0.302 |      120.816
     120.695 |        0.360 |      121.055
     120.373 |        0.294 |      120.666
     119.407 |        0.636 |      120.042
     119.221 |        1.743 |      120.964
     120.828 |        0.394 |      121.222
     120.718 |        0.296 |      121.014
     120.100 |        0.565 |      120.665
     120.485 |        0.206 |      120.691
     118.717 |        1.214 |      119.931
     119.932 |        1.712 |      121.644
     119.558 |        0.313 |      119.872
     119.237 |        0.316 |      119.553
     119.065 |        0.365 |      119.430
     118.848 |        1.044 |      119.892
     119.212 |        0.451 |      119.664
     119.542 |        0.329 |      119.871
     118.909 |        0.288 |      119.197
     118.815 |        0.604 |      119.419
     119.414 |        0.268 |      119.682
     119.652 |        1.404 |      121.056
     118.163 |        0.245 |      118.408
     118.508 |        0.695 |      119.203
     118.586 |        0.855 |      119.441
     118.151 |        0.259 |      118.410
     118.108 |        1.587 |      119.695
     119.399 |        1.479 |      120.878
     120.271 |        1.083 |      121.354
     121.114 |        0.289 |      121.403
     121.012 |        0.859 |      121.871
     121.844 |        0.293 |      122.138
     121.434 |        1.786 |      123.220
     122.588 |        1.906 |      124.494
     124.094 |        0.277 |      124.371
     123.609 |        0.666 |      124.275
     123.375 |        1.920 |      125.294
     125.067 |        0.907 |      125.974
     124.641 |        0.592 |      125.233
     124.445 |        0.271 |      124.716
     123.722 |        0.320 |      124.042
     123.778 |        1.100 |      124.878
     122.372 |        0.570 |      122.942
     122.162 |        0.409 |      122.572
     122.564 |        0.280 |      122.844
     122.232 |        0.426 |      122.658
     122.406 |        0.341 |      122.747
     122.231 |        0.509 |      122.739
     122.475 |        0.514 |      122.989
     122.990 |        0.392 |      123.382
     122.344 |        0.954 |      123.299
     122.877 |        0.228 |      123.105
     123.113 |        0.462 |      123.574
     123.125 |        0.580 |      123.705
     123.464 |        0.322 |      123.786
     122.747 |        0.272 |      123.018
     122.413 |        0.255 |      122.668
     122.442 |        0.996 |      123.438
     122.762 |        0.664 |      123.426
     123.271 |        1.114 |      124.386
     122.772 |        1.601 |      124.373
     124.188 |        1.695 |      125.883
     124.250 |        0.342 |      124.592
     124.502 |        1.421 |      125.923
     125.921 |        0.335 |      126.257
     124.701 |        0.739 |      125.441
     125.380 |        0.385 |      125.765
     124.014 |        1.038 |      125.052
     123.890 |        1.554 |      125.444
     124.002 |        1.594 |      125.596
     121.459 |        1.469 |      122.928
     122.615 |        0.330 |      122.945
     122.752 |        0.387 |      123.139
     122.537 |        0.276 |      122.813
     122.757 |        1.833 |      124.589
     124.567 |        0.616 |      125.183
     123.016 |        0.380 |      123.396
     122.883 |        0.457 |      123.341
     123.009 |        1.513 |      124.522
     123.449 |        0.329 |      123.777
     122.915 |        1.252 |      124.167
     123.729 |        0.770 |      124.498
