mslong,sys_current,a57_current,a53_current,gpu_current,sys_voltage,a57_voltage,a53_voltage,gpu_voltage,sys_power,a57_power,a53_power,gpu_power,sys_energy,a57_energy,a53_energy,gpu_energy
1520969171380,0.842313,0.104987,0.119580,0.091864,0.905672,1.008015,0.807028,0.908755,0.762859,0.105828,0.096504,0.083481,14718232.828327,2536622.625452,943615.705297,1577038.286402
1520969171480,0.862024,0.118110,0.130092,0.091864,0.906289,1.008015,0.807028,0.908138,0.781242,0.119057,0.104988,0.083425,14718232.905592,2536622.636828,943615.715619,1577038.294902
1520969171580,0.835742,0.104987,0.122208,0.094488,0.905672,1.008015,0.807028,0.908138,0.756909,0.105828,0.098625,0.085808,14718232.982977,2536622.648373,943615.725798,1577038.303394
1520969171680,0.885677,0.133858,0.136662,0.091864,0.906289,1.008015,0.807645,0.908755,0.802679,0.134931,0.110375,0.083481,14718233.060582,2536622.660064,943615.736098,1577038.311898
1520969171781,0.838371,0.102362,0.120894,0.091864,0.905672,1.007398,0.806412,0.908138,0.759289,0.103120,0.097490,0.083425,14718233.137830,2536622.671510,943615.746283,1577038.320388
1520969171881,0.843627,0.104987,0.122208,0.094488,0.906905,1.008015,0.807645,0.908755,0.765089,0.105828,0.098700,0.085867,14718233.214997,2536622.682894,943615.756591,1577038.328904
1520969171981,0.843627,0.104987,0.120894,0.091864,0.905672,1.008015,0.807028,0.908755,0.764049,0.105828,0.097565,0.083481,14718233.292375,2536622.694413,943615.766720,1577038.337402
1520969172081,0.869908,0.125984,0.124836,0.091864,0.906289,1.008015,0.807645,0.908138,0.788388,0.126994,0.100823,0.083425,14718233.369742,2536622.705881,943615.777289,1577038.345918
1520969172181,0.886991,0.133858,0.130092,0.094488,0.906289,1.008015,0.807028,0.908138,0.803870,0.134931,0.102867,0.085808,14718233.447167,2536622.717469,943615.787305,1577038.354405
1520969172281,0.852825,0.112861,0.122208,0.091864,0.905672,1.008015,0.807028,0.908755,0.772906,0.113765,0.098625,0.083481,14718233.524518,2536622.729070,943615.797379,1577038.362909
1520969172381,0.839685,0.102362,0.124836,0.094488,0.906289,1.007398,0.807645,0.908138,0.760997,0.103120,0.100823,0.085808,14718233.602180,2536622.740796,943615.807788,1577038.371406
