  QueueTimes | ServiceTimes | SojournTimes
       2.014 |        0.805 |        2.819
       0.196 |        3.297 |        3.493
       3.434 |        3.248 |        6.682
       4.818 |        0.615 |        5.432
       3.160 |        1.600 |        4.759
       3.247 |        0.780 |        4.027
       2.112 |        1.788 |        3.900
       0.151 |        4.155 |        4.306
       2.854 |        1.467 |        4.321
       2.255 |        0.812 |        3.067
       2.243 |        1.793 |        4.036
       3.887 |        1.719 |        5.606
       3.718 |        1.346 |        5.064
       0.536 |        1.915 |        2.451
       0.467 |        0.743 |        1.210
       0.471 |        0.727 |        1.198
       0.185 |        0.720 |        0.906
       0.198 |        0.804 |        1.001
       0.188 |        0.800 |        0.988
       0.191 |        0.830 |        1.021
       0.187 |        1.381 |        1.568
       0.807 |        0.937 |        1.744
       0.165 |        4.144 |        4.309
       3.856 |        2.846 |        6.702
       5.664 |        0.763 |        6.427
       3.449 |        2.136 |        5.585
       0.195 |        1.210 |        1.405
