Linux 5.0.0-31-generic (yong) 	11/21/19 	_x86_64_	(48 CPU)

18:33:09        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:39          8     54.23      0.00     13.43      0.00      0.00     32.34
18:33:39         10     53.77      0.00     14.07      0.00      0.00     32.16
18:33:39         12     53.81      0.00     14.21      0.00      0.00     31.98
18:33:39         14     52.08      0.00     14.58      0.00      0.00     33.33
18:33:39         16     54.82      0.00     13.20      0.00      0.00     31.98
18:33:39         18     53.81      0.00     13.71      0.00      0.00     32.49
18:33:39         20     54.95      0.00     12.87      0.00      0.00     32.18
18:33:39         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:39        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:41          0     55.67      0.00     11.86      0.00      0.00     32.47
18:33:41          2     56.04      0.00     12.56      0.00      0.00     31.40
18:33:41          4     53.19      0.00     12.77      0.00      0.00     34.04
18:33:41          6     55.39      0.00     13.24      0.00      0.00     31.37
18:33:41          8     55.15      0.00     11.34      0.00      0.00     33.51
18:33:41         10     52.06      0.00     14.43      0.00      0.00     33.51
18:33:41         12     56.48      0.00     10.88      0.00      0.00     32.64
18:33:41         14     53.85      0.00     13.85      0.00      0.00     32.31
18:33:41         16     54.23      0.00     14.43      0.00      0.00     31.34
18:33:41         18     53.30      0.00     13.71      0.00      0.00     32.99
18:33:41         20     53.19      0.00     12.23      0.00      0.00     34.57
18:33:41         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:41        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:43          0     52.79      0.00     15.74      0.00      0.00     31.47
18:33:43          2     56.72      0.00     12.44      0.00      0.00     30.85
18:33:43          4     54.04      0.00     14.14      0.00      0.00     31.82
18:33:43          6     55.33      0.00     13.20      0.00      0.00     31.47
18:33:43          8     52.58      0.00     15.98      0.00      0.00     31.44
18:33:43         10     58.29      0.00     10.55      0.00      0.00     31.16
18:33:43         12     56.92      0.00     11.79      0.00      0.00     31.28
18:33:43         14     56.77      0.00     10.94      0.00      0.00     32.29
18:33:43         16     57.29      0.00     12.06      0.00      0.00     30.65
18:33:43         18     58.50      0.00     10.00      0.00      0.00     31.50
18:33:43         20     55.94      0.00     13.37      0.00      0.00     30.69
18:33:43         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:43        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:45          0     56.59      0.00     12.68      0.00      0.00     30.73
18:33:45          2     55.00      0.00     12.50      0.00      0.00     32.50
18:33:45          4     52.53      0.00     14.14      0.00      0.00     33.33
18:33:45          6     51.76      0.00     16.08      0.00      0.00     32.16
18:33:45          8     55.12      0.00     12.68      0.00      0.00     32.20
18:33:45         10     53.61      0.00     12.89      0.00      0.00     33.51
18:33:45         12     49.27      0.00     19.02      0.00      0.00     31.71
18:33:45         14     51.79      0.00     14.36      0.00      0.00     33.85
18:33:45         16     54.77      0.00     12.06      0.00      0.00     33.17
18:33:45         18     53.27      0.00     14.07      0.00      0.00     32.66
18:33:45         20     52.82      0.00     14.36      0.00      0.00     32.82
18:33:45         22      0.00      0.00      0.00      0.00      0.00    100.00

18:33:45        CPU     %user     %nice   %system   %iowait    %steal     %idle
18:33:47          0     55.85      0.00     11.17      0.00      0.00     32.98
18:33:47          2     56.63      0.00     11.73      0.00      0.00     31.63
18:33:47          4     49.21      0.00     17.28      0.00      0.00     33.51
18:33:47          6     56.92      0.00     11.28      0.00      0.00     31.79
18:33:47          8     54.27      0.00     14.07      0.00      0.00     31.66
18:33:47         10     54.92      0.00     11.40      0.00      0.00     33.68
18:33:47         12     52.36      0.00     15.18      0.00      0.00     32.46
18:33:47         14     54.31      0.00     13.71      0.00      0.00     31.98
18:33:47         16     54.46      0.00     14.36      0.00      0.00     31.19
18:33:47         18     53.40      0.00     13.61      0.00      0.00     32.98
