  Key Length |   QueueTimes | ServiceTimes | SojournTimes
       4.000 |        8.051 |        1.355 |        9.406
       7.000 |        7.999 |        0.567 |        8.566
       8.000 |        7.995 |        0.549 |        8.543
       7.000 |        7.982 |        1.894 |        9.877
      10.000 |        7.868 |        0.410 |        8.278
       5.000 |        7.968 |        0.930 |        8.898
       8.000 |        7.825 |        1.506 |        9.331
       7.000 |        8.075 |        0.976 |        9.050
       9.000 |        8.254 |        0.375 |        8.630
      11.000 |        7.978 |        0.891 |        8.870
      12.000 |        8.032 |        0.587 |        8.619
       7.000 |        7.628 |        0.337 |        7.964
      10.000 |        8.045 |        1.883 |        9.929
       7.000 |        7.740 |        0.441 |        8.181
       9.000 |        7.890 |        0.754 |        8.644
       9.000 |        7.910 |        0.443 |        8.353
      10.000 |        7.755 |        0.745 |        8.500
       9.000 |        8.126 |        1.580 |        9.706
      10.000 |        7.908 |        0.671 |        8.579
      12.000 |        8.130 |        0.552 |        8.682
       9.000 |        7.941 |        0.853 |        8.794
      15.000 |        8.241 |        0.504 |        8.745
      13.000 |        8.100 |        0.772 |        8.872
       6.000 |        8.128 |        0.374 |        8.502
       7.000 |        8.226 |        0.518 |        8.745
       7.000 |        7.929 |        0.399 |        8.328
       5.000 |        8.038 |        1.253 |        9.291
       5.000 |        7.950 |        0.336 |        8.285
      12.000 |        8.122 |        1.417 |        9.539
      11.000 |        8.022 |        0.431 |        8.453
       7.000 |        8.165 |        0.359 |        8.523
       4.000 |        8.009 |        1.184 |        9.192
       7.000 |        8.359 |        0.586 |        8.945
       9.000 |        7.837 |        1.757 |        9.594
       7.000 |        7.982 |        1.224 |        9.206
      12.000 |        8.080 |        2.595 |       10.675
      10.000 |        8.569 |        0.235 |        8.804
       8.000 |        8.085 |        2.515 |       10.600
      11.000 |        8.440 |        1.252 |        9.692
      12.000 |        8.543 |        1.164 |        9.707
      11.000 |        8.874 |        0.341 |        9.215
       8.000 |        8.580 |        1.165 |        9.745
       8.000 |        8.919 |        0.543 |        9.462
       7.000 |        8.899 |        0.596 |        9.496
       6.000 |        9.064 |        0.624 |        9.687
      16.000 |        8.837 |        0.567 |        9.403
      17.000 |        8.717 |        1.863 |       10.579
       5.000 |        8.925 |        1.330 |       10.255
       6.000 |        9.272 |        0.410 |        9.682
       8.000 |        8.875 |        1.446 |       10.321
      12.000 |        9.434 |        0.970 |       10.404
       7.000 |        8.910 |        1.327 |       10.237
       7.000 |        8.933 |        0.380 |        9.313
      11.000 |        8.808 |        0.511 |        9.319
      11.000 |        8.806 |        0.360 |        9.166
       6.000 |        8.833 |        1.258 |       10.091
      12.000 |        9.073 |        1.090 |       10.163
      12.000 |        8.622 |        0.444 |        9.066
       4.000 |        8.690 |        0.917 |        9.607
       9.000 |        8.475 |        0.499 |        8.974
       8.000 |        8.361 |        0.475 |        8.837
      11.000 |        8.365 |        0.436 |        8.801
       6.000 |        8.462 |        0.973 |        9.435
       6.000 |        8.375 |        0.907 |        9.282
      15.000 |        8.207 |        0.409 |        8.616
       4.000 |        8.561 |        0.703 |        9.263
       5.000 |        9.071 |        2.375 |       11.446
       6.000 |        8.697 |        1.848 |       10.545
      10.000 |        8.330 |        0.410 |        8.740
      11.000 |        8.397 |        0.384 |        8.780
      12.000 |        8.277 |        0.792 |        9.070
       8.000 |        8.534 |        1.522 |       10.055
      10.000 |        8.567 |        0.378 |        8.946
       6.000 |        8.350 |        0.812 |        9.163
       9.000 |        8.471 |        0.747 |        9.218
       7.000 |        8.497 |        0.840 |        9.337
      10.000 |        8.564 |        0.783 |        9.347
       7.000 |        8.507 |        0.394 |        8.902
      12.000 |        8.525 |        2.420 |       10.946
       8.000 |        8.627 |        0.591 |        9.218
       7.000 |        8.683 |        0.379 |        9.062
      13.000 |        8.567 |        1.405 |        9.972
       9.000 |        8.639 |        0.690 |        9.329
      14.000 |        8.617 |        1.418 |       10.035
